高階 綱
坏作 喫
山守 恥
河内 環各
春日部主寸 夜
丹比部 顧
伊蘇志 否
古氏 劣
日下部 垂乾
葛井 汰
羽束 捨据
采女 論
武生 塞悪
広海 片
工 可
春野 桃精
三国 斑
巨椋 票
国造 挽席
桜井 驍飜
岡屋 犠
大宅 僞
物部 五
村挙 葬卿
木勝 括
住道 納
菅田 壬合
楊津 急悦
秦 譜嚇
矢田部 尊
河原蔵人 請
額田部 頰在
佐良々 広膚
和山守 木
真野 汝和
掃守 維
阿閉 柳謎
爪工 騒神
日下部 焼
内田 或鞄
今木 伍庸
大田祝山 源沸
石野 廿
蓁原 軍
川瀬 猶悼
丹比須布 術凜
坏作 裾
内原 滝
石辺 縦
阿閉間人 久
三富部 紺接
真野 輯
国栖 購勳
宇努 堀
村主 努
薗部 團椅
福当 淳
伊福部 楓
伊我水取 搜
物部 棚
海原 抄
下曰佐 惡崖
三国 薙
日下 某
新城 杯
大市 河鞭
榎本 箇簿
矢田部 顯欄
名張 寵
大鹿 蛍
石野 燦掘
錦織 詢義
尋来津 賣鉱
宇治部 挿燿
丹比 獣遡
大部 裳晋
池後 懲
木勝 揮
治田 亭
曽祢 幸
福当 経都
佐伯 峠
登美 鞭従
小子部 豊
秦 蘇
信太 器宙
堅井 褐
大 降共
津 礎芳
高志 方
積組 星
我孫 中
平群 愚
坂田 活桶
山 嘆
巫部 庭
茨田 早
高向 撰
久米 戴
飛鳥 銅
阿閉間人 絶戻
襷多治比 宗
山口 憧
阿閉 印
中臣高良比 薩音
祝部 卜征
竹田 免
橘守 氏
神松 矯歩
若倭部 族至
凡海 荘
若犬養 賦
高階 昨乃
久米 高彈
柴垣 宅喚
佐伯日奉 櫛履
氷 鮮津
高階 今獄
佐味 滑
楊津 俺
若桜部 沓沖
息長 憎櫂
松原 棚喋
清海 訣
下家 猛杵
物部飛鳥 粘禁
香山 寧
石辺 環
阿倍 爭
刑部 桧
文 鎭沌
広根 恵
会加 匠摩
紀祝 方
漢人 坪射
呉 懲
曰佐 膏
水海 栖
神人 萌
高階 予買
高向 菜
上 競
伊我水取 陸注
常世 崇
中臣方岳 願拒
宮原 枝
秦 朴
大家 髪燎
阿閇 煮
佐伯 般
奄智 博
西泥土部 閑
高家 糊準
三林 肋
土師 挨膳
城篠 堪
韓国 編徹
三間名 喩
道守 苛
日下部 秒
小家 劉
日置部 蛇后
